"Date","Price","Open","High","Low","Vol.","Change %"
"02/10/2023","1.1285","1.1289","1.1337","1.1264","186.20K","-0.02%"
"02/09/2023","1.1287","1.1271","1.1316","1.1252","194.55K","0.17%"
"02/08/2023","1.1268","1.1233","1.1272","1.1220","198.30K","0.35%"
"02/07/2023","1.1229","1.1205","1.1241","1.1183","269.04K","0.31%"
"02/06/2023","1.1194","1.1171","1.1221","1.1151","217.70K","0.30%"
"02/03/2023","1.1161","1.1206","1.1252","1.1133","241.19K","-0.34%"
"02/02/2023","1.1199","1.1263","1.1269","1.1164","239.59K","-0.53%"
"02/01/2023","1.1259","1.1341","1.1349","1.1254","221.60K","-0.71%"
"01/31/2023","1.1340","1.1387","1.1402","1.1322","203.40K","-0.40%"
"01/30/2023","1.1386","1.1408","1.1415","1.1357","213.84K","-0.16%"
"01/27/2023","1.1404","1.1392","1.1413","1.1355","239.03K","0.13%"
"01/26/2023","1.1389","1.1359","1.1401","1.1342","217.98K","0.30%"
"01/25/2023","1.1355","1.1329","1.1367","1.1295","170.99K","0.21%"
"01/24/2023","1.1331","1.1386","1.1411","1.1297","167.95K","-0.46%"
"01/23/2023","1.1383","1.1424","1.1426","1.1342","174.27K","-0.27%"
"01/20/2023","1.1414","1.1442","1.1444","1.1379","223.41K","-0.21%"
"01/19/2023","1.1438","1.1442","1.1467","1.1374","273.89K","0.02%"
"01/18/2023","1.1436","1.1392","1.1453","1.1356","274.31K","0.41%"
"01/17/2023","1.1389","1.1267","1.1394","1.1250","272.85K","1.08%"
"01/16/2023","1.1267","1.1289","1.1306","1.1260","183.39K","-0.18%"
"01/13/2023","1.1287","1.1253","1.1300","1.1236","263.01K","0.34%"
"01/12/2023","1.1249","1.1291","1.1324","1.1215","228.29K","-0.32%"
"01/11/2023","1.1285","1.1322","1.1329","1.1257","222.76K","-0.31%"
"01/10/2023","1.1320","1.1361","1.1366","1.1301","269.28K","-0.28%"
"01/09/2023","1.1352","1.1360","1.1406","1.1331","231.69K","-0.04%"
"01/06/2023","1.1357","1.1323","1.1371","1.1272","259.72K","0.39%"
"01/05/2023","1.1313","1.1372","1.1381","1.1279","216.96K","-0.47%"
"01/04/2023","1.1366","1.1343","1.1387","1.1332","271.31K","0.27%"
"01/03/2023","1.1335","1.1297","1.1388","1.1280","253.89K","0.37%"
"01/02/2023","1.1293","1.1301","1.1320","1.1264","39.61K","-0.05%"
"12/30/2022","1.1299","1.1306","1.1337","1.1262","210.07K","-0.04%"
"12/29/2022","1.1304","1.1327","1.1337","1.1284","176.86K","-0.15%"
"12/28/2022","1.1321","1.1298","1.1374","1.1284","162.84K","0.22%"
"12/27/2022","1.1296","1.1342","1.1366","1.1279","186.05K","-0.35%"
"12/26/2022","1.1336","1.1366","1.1379","1.1339","23.03K","-0.18%"
"12/23/2022","1.1356","1.1368","1.1388","1.1330","236.38K","-0.08%"
"12/22/2022","1.1365","1.1393","1.1410","1.1319","240.90K","-0.24%"
"12/21/2022","1.1392","1.1468","1.1477","1.1374","224.66K","-0.65%"
"12/20/2022","1.1466","1.1456","1.1487","1.1397","297.59K","0.15%"
"12/19/2022","1.1449","1.1480","1.1509","1.1442","231.94K","-0.17%"
"12/16/2022","1.1468","1.1459","1.1494","1.1397","225.29K","0.12%"
"12/15/2022","1.1454","1.1629","1.1640","1.1454","242.54K","-1.49%"
"12/14/2022","1.1627","1.1624","1.1664","1.1599","262.75K","0.09%"
"12/13/2022","1.1617","1.1649","1.1683","1.1592","217.87K","-0.23%"
"12/12/2022","1.1644","1.1642","1.1667","1.1602","199.31K","0.09%"
